Location,Province,Perc,Lat,Lon
Lahore,Punjab,51.04166667,31.582045,74.329376
Islamabad,ICT,40.625,33.738045,73.084488
Peshawar,KP,21.875,34.025917,71.560135
Gujranwala,Punjab,18.22916667,32.166351,74.1959
Rawalpindi,Punjab,11.45833333,33.626057,73.071442
Faisalabad,Punjab,9.895833333,31.418715,73.079109
Multan,Punjab,9.375,30.181459,71.492157
Karachi,Sindh,9.375,24.926294,67.022095
DGKhan,Punjab,6.25,30.045869,70.640289
Quetta,Balochistan,6.25,30.18327,66.996452
Sukkur,Sindh,5.729166667,27.7244,68.8228
Hyderabad,Sindh,4.6875,25.3924198,68.3736572
Other,None,1.041667,,
Sargodha,Punjab,1.041666667,32.082466,72.669128
Sialkot,Punjab,1.041666667,32.4945,74.5229
